Event Name,Speaker Name,Display Pic url,Designation,Company,Linkedin
AI & Big Data Expo,Ankur Bhan,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Nokia.jpg,Global Head of Nokia WING ,Nokia,https://www.linkedin.com/in/ankur-bhan-6030041/
AI & Big Data Expo,James Swanson,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Jim-Swanson.jpg,CIO and Head of Digital Transformation,Bayer Crop Science,https://www.linkedin.com/in/jimdswanson/
AI & Big Data Expo,Dr Katie Russell,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Katie-Russell.jpg,Head of Data & Analytics,OVO Energy ,https://uk.linkedin.com/in/katie-russell-60249b22
AI & Big Data Expo,Javier Campos,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Hello.png,Head of DataLabs,Experian,https://uk.linkedin.com/in/camposjavier
AI & Big Data Expo,Gil Adato,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/ph.jpg,"Vice President, Digital Health - Head of New Business Development & Connected Value Propositions",Philips ,https://nl.linkedin.com/in/giladato
AI & Big Data Expo,Norman Stürtz,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Norman_Stuertz_2019.jpg,"Divisional CDO, Credit Suisse (Schweiz) AG",Credit Suisse,https://www.linkedin.com/in/nstue/
AI & Big Data Expo,Natalie Jakomis,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Natalie-go-compare.jpg,Group Head of Data ,GoCompare,https://uk.linkedin.com/in/natalie-jakomis-68ba3254
AI & Big Data Expo,Cyrille Bataller,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Cyrille-Bataller.jpg,Managing Director - Emerging Technology,Accenture Applied Intelligence,https://tw.linkedin.com/in/cyrille-bataller-b2524958/zh-tw
AI & Big Data Expo,John Park,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/John-P.jpg,Senior Software Engineer ,Airbnb,https://www.linkedin.com/in/justindoit
AI & Big Data Expo,Abhijit Akerkar,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/ll-1.jpg,"Head of Applied Sciences, Business Integration",Lloyds Banking Group,https://uk.linkedin.com/in/abhijit-akerkar
AI & Big Data Expo,Maria Crosas Batista,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Nestle.jpg,IS/IT Project Manager,Nestlé,https://es.linkedin.com/in/mariacrosas/en
AI & Big Data Expo,Sam Hemmant,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Sam-Hemmant-002-1.jpg,Global Marketing Director,LexisNexis,https://in.linkedin.com/pub/sam-hemmant/9b/652/a39
AI & Big Data Expo,Martin Treder,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/Martin-Treder.jpg,Managing Director Data Management International ,FedEx,https://nz.linkedin.com/pub/martin-treder/2/9a1/705
AI & Big Data Expo,Pierluigi Casale,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/PierLuigi-Casale.jpeg,Group Data Scientist ,TomTom,https://nl.linkedin.com/in/pierluigicasale
AI & Big Data Expo,Alejandra Leon,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Alejandra-Leon-1.jpg,"Global Segment Architect,  Communications and Brand",Shell,https://www.crunchbase.com/person/alejandra-leon
AI & Big Data Expo,Dr. Maher Chebbo,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Dr-Maher-Chebbo-1.jpg,"Senior Executive SVP, Chief Business Innovation Officer",GE Power,https://fr.linkedin.com/in/maherchebbo
AI & Big Data Expo,Arun Nathani,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Fahad-.jpg,Chief Executive Officer ,Cybage Software,https://in.linkedin.com/in/arun-nathani-4665254
AI & Big Data Expo,Priyanka Vergadia,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Privanka-Vergadia.jpg,Developer Advocate,Google Cloud,https://www.linkedin.com/in/priyankavergadia
AI & Big Data Expo,David Hogan,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/David.jpg,Sr. Director Enterprise,NVIDIA,https://uk.linkedin.com/in/david-hogan-b1a5453
AI & Big Data Expo,Andrew Wigfield,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Andrew-microsoft-1.jpg,Principal Solution Specialist,Microsoft,https://www.ai-expo.net/europe/speaker/andrew-wigfield/
AI & Big Data Expo,Romaric Redon,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Rom.jpg,Head of Data Lab,Airbus Defence and Space ,https://www.linkedin.com/company/thales
AI & Big Data Expo,Dr. Evert Haasdijk,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Evert-Haasdijk-002.jpg,Senior Manager and AI expert,Deloitte ,https://www.linkedin.com/in/everthaasdijk/
AI & Big Data Expo,Carla Jesus,https://www.ai-expo.net/europe/wp-content/uploads/2018/05/Car.jpg,Senior Product Owner,Adidas,https://nl.linkedin.com/in/carla-jesus
AI & Big Data Expo,Maarten Sukel,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/Maarten-Sukel.jpg,AI specialist,City of Amsterdam,https://www.linkedin.com/in/maartenmarkus/
AI & Big Data Expo,Anthony Morris,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Anthony.jpg,"Director Data, Analytics, & Insight",Dixons Carphone,https://uk.linkedin.com/in/anthony-morris-b4111a66
AI & Big Data Expo,Len Debets,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/LEN.jpg,Founder of KPMG's Digital Advisor,KPMG,https://nl.linkedin.com/in/len-debets
AI & Big Data Expo,Alejandro Saucedo,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/Alejandro-Saucedo.png,Chief Scientist,Institute for Ethical AI & Machine Learning,https://uk.linkedin.com/in/axsaucedo
AI & Big Data Expo,Elena Salova,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Elena-Salova-2.jpg,Data Scientist,Hitachi Vantara,https://uk.linkedin.com/in/dr-n-r-srinivasa-raghavan-0a736a
AI & Big Data Expo,Dr. N. R. Srinivasa Raghavan,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/Dr.-N-R-Srinivasa-Raghavan.jpg,"Chief Data Scientist, Data and Analytics",Infosys,https://www.linkedin.com/in/emilio-billi-ba063239
